Process 	Arrival Time	Burst Time	Priority	Completion Time   	Waiting Time 	Turnaround Time

1505		4561		3		5		4565				4		7
2549		7642		5		7		7647				5		10
812		2441		4		9		2446				5		9
5945		17582		5		3		17629				47		52
5074		15045		5		1		15821				776		781
1199		3638		3		9		3643				5		8
1151		3473		2		6		3475				2		4
1263		3860		4		5		3864				4		8
5744		17018		5		1		17536				518		523
5556		16434		2		9		16436				2		4
3388		10092		3		5		10101				9		12
3720		11046		1		10		11047				1		2
4583		13575		4		8		13607				32		36
5903		17477		4		7		17484				7		11
7896		23639		4		4		23645				6		10
6164		18308		1		9		18309				1		2
296		852		5		10		1149				297		302
6056		17975		4		9		17993				18		22
6352		18914		3		5		18918				4		7
1085		3296		4		1		3308				12		16
2462		7348		5		1		7592				244		249
7283		21713		3		3		21718				5		8
4599		13608		1		5		13609				1		2
4894		14480		1		4		14481				1		2
4578		13564		5		3		14617				1053		1058
3068		9124		5		10		9157				33		38
8799		26296		4		3		26301				5		9
4268		12664		1		3		12665				1		2
5859		17366		2		8		17368				2		4
771		2328		1		1		2329				1		2
6791		20283		5		10		20340				57		62
1910		5760		5		5		5806				46		51
3313		9865		2		5		9867				2		4
3190		9466		2		7		9468				2		4
8196		24583		4		10		24591				8		12
5504		16290		4		4		16302				12		16
8194		24578		1		1		24579				1		2
1722		5257		4		10		5267				10		14
5799		17208		4		5		17219				11		15
3992		11877		1		8		11878				1		2
2488		7446		1		4		7447				1		2
3942		11714		3		4		11723				9		12
1570		4745		4		10		4763				18		22
7062		21039		3		2		21048				9		12
4045		12003		5		4		12523				520		525
6590		19659		4		5		19664				5		9
6911		20602		3		2		20605				3		6
2051		6121		5		2		6201				80		85
7278		21706		4		5		21741				35		39
2391		7131		1		2		7132				1		2
6452		19228		2		7		19231				3		5
5496		16264		5		3		16795				531		536
5241		15525		5		3		15762				237		242
5084		15083		3		10		15087				4		7
1634		4975		3		4		4978				3		6
6799		20305		5		8		20671				366		371
3092		9203		3		9		9208				5		8
4211		12490		2		10		12493				3		5
56		152		5		4		166				14		19
2444		7271		1		7		7272				1		2
5570		16474		2		8		16476				2		4
3488		10352		1		10		10353				1		2
2875		8588		1		1		8589				1		2
7102		21207		2		9		21209				2		4
5566		16465		5		7		17210				745		750
556		1648		1		8		1650				2		3
3256		9717		2		2		9720				3		5
5628		16625		5		1		17234				609		614
6043		17944		4		2		17960				16		20
893		2658		5		2		2742				84		89
3415		10161		1		7		10162				1		2
4012		11928		3		7		11932				4		7
4470		13265		5		8		14028				763		768
5335		15793		4		5		15813				20		24
3176		9433		4		1		9437				4		8
1559		4710		5		4		4719				9		14
3713		11033		4		9		11066				33		37
1336		4068		2		10		4071				3		5
811		2437		5		5		2465				28		33
1017		3076		1		7		3077				1		2
6602		19688		2		5		19690				2		4
5126		15203		4		10		15220				17		21
65		180		5		6		209				29		34
1389		4229		2		1		4232				3		5
3742		11101		5		3		11174				73		78
2153		6428		4		1		6433				5		9
3784		11236		1		9		11237				1		2
4780		14088		2		10		14093				5		7
2600		7803		4		5		7814				11		15
3191		9472		5		3		9507				35		40
2503		7487		1		8		7488				1		2
3098		9232		1		6		9233				1		2
603		1774		2		1		1778				4		6
894		2663		5		5		2732				69		74
212		608		1		4		609				1		2
5177		15339		1		5		15340				1		2
2737		8190		2		8		8192				2		4
6170		18316		5		9		18894				578		583
4414		13107		5		2		13460				353		358
7255		21633		1		9		21634				1		2
879		2620		3		6		2624				4		7
1444		4374		3		3		4382				8		11
2799		8359		5		1		8364				5		10
6171		18332		1		10		18333				1		2
374		1059		3		7		1063				4		7
2941		8777		3		1		8780				3		6
697		2085		3		10		2088				3		6
88		250		1		3		251				1		2
2900		8656		2		5		8659				3		5
7207		21521		1		2		21522				1		2
5805		17216		4		10		17223				7		11
1714		5227		2		7		5229				2		4
4420		13126		3		10		13129				3		6
5007		14865		1		2		14866				1		2
4958		14707		1		10		14708				1		2
5993		17742		5		6		18765				1023		1028
1572		4748		2		3		4750				2		4
3160		9375		2		4		9378				3		5
3189		9466		2		5		9470				4		6
4928		14587		3		6		14591				4		7
8263		24774		1		10		24775				1		2
3000		8921		2		8		8923				2		4
2661		7986		1		8		7987				1		2
5165		15321		5		1		15622				301		306
8569		25639		4		4		25668				29		33
4305		12774		4		1		12787				13		17
2915		8699		3		3		8706				7		10
934		2812		5		4		2858				46		51
4769		14057		3		6		14062				5		8
1126		3421		5		7		3523				102		107
4936		14618		1		2		14619				1		2
7812		23349		3		3		23355				6		9
2791		8334		1		6		8335				1		2
167		481		1		9		482				1		2
5952		17601		1		1		17602				1		2
455		1336		4		3		1346				10		14
7347		21904		1		4		21905				1		2
6147		18261		2		10		18265				4		6
6783		20266		5		7		20701				435		440
6057		17977		2		9		17979				2		4
6889		20552		2		3		20555				3		5
3132		9311		1		1		9312				1		2
1748		5319		2		5		5321				2		4
6658		19900		1		8		19901				1		2
6882		20527		1		1		20528				1		2
2189		6555		2		8		6558				3		5
8381		25068		4		9		25072				4		8
3014		8957		4		3		8961				4		8
87		249		4		2		255				6		10
1890		5701		4		1		5708				7		11
634		1881		4		7		1903				22		26
6922		20637		1		10		20638				1		2
887		2648		4		1		2665				17		21
967		2914		5		5		2940				26		31
5343		15810		5		1		15856				46		51
2521		7520		5		1		7548				28		33
6437		19183		3		2		19186				3		6
2983		8886		3		7		8889				3		6
6416		19116		5		5		19346				230		235
2104		6280		5		2		6349				69		74
848		2542		3		1		2549				7		10
3595		10675		4		4		10690				15		19
1656		5044		4		9		5050				6		10
852		2549		4		10		2580				31		35
2486		7441		1		1		7442				1		2
3871		11522		3		3		11526				4		7
8127		24369		1		5		24370				1		2
9228		27460		4		4		27466				6		10
5677		16776		1		2		16777				1		2
558		1650		4		3		1669				19		23
6139		18248		1		7		18249				1		2
5277		15599		3		5		15605				6		9
3530		10471		4		2		10486				15		19
1851		5594		4		4		5600				6		10
3036		9022		5		9		9572				550		555
7485		22315		1		8		22316				1		2
227		657		2		8		661				4		6
2527		7554		1		2		7555				1		2
5235		15508		3		9		15511				3		6
7914		23695		3		6		23698				3		6
3523		10454		2		3		10456				2		4
1298		3968		5		4		3987				19		24
2041		6092		5		4		6392				300		305
127		363		1		2		364				1		2
5442		16106		5		6		16190				84		89
4973		14769		1		7		14771				2		3
2533		7577		2		10		7579				2		4
5588		16514		3		7		16517				3		6
5533		16377		1		6		16379				2		3
5445		16113		1		8		16114				1		2
8		28		3		3		32				4		7
5263		15563		1		5		15564				1		2
1513		4583		1		7		4584				1		2
502		1462		3		9		1465				3		6
339		972		2		1		975				3		5
1216		3684		2		1		3689				5		7
1399		4246		4		4		4305				59		63
4923		14570		3		2		14574				4		7
5187		15383		2		1		15386				3		5
4549		13496		1		9		13497				1		2
3333		9921		2		10		9924				3		5
2113		6290		1		9		6291				1		2
2761		8254		1		1		8255				1		2
3823		11358		5		3		11790				432		437
6285		18721		5		6		19024				303		308
6031		17906		5		5		18722				816		821
5552		16428		1		1		16429				1		2
1877		5663		2		2		5669				6		8
7282		21713		4		4		21727				14		18
4081		12094		4		2		12106				12		16
5990		17737		3		9		17742				5		8
3087		9179		1		6		9180				1		2
6365		18944		2		7		18947				3		5
2934		8758		2		8		8763				5		7
3188		9465		1		7		9466				1		2
7376		21957		4		4		21984				27		31
4142		12273		3		5		12281				8		11
1635		4977		3		5		4982				5		8
5737		17004		4		9		17033				29		33
1955		5870		2		2		5873				3		5
4602		13618		4		2		13649				31		35
6744		20156		5		9		20841				685		690
3697		10995		3		6		10999				4		7
808		2411		2		4		2414				3		5
2068		6167		2		6		6169				2		4
3810		11322		4		3		11329				7		11
773		2333		1		1		2334				1		2
6209		18486		5		8		21680				3194		3199
4841		14306		1		2		14307				1		2
2315		6901		1		3		6902				1		2
4387		13032		5		5		14623				1591		1596
141		410		3		4		415				5		8
2745		8211		1		9		8212				1		2
6867		20488		3		8		20496				8		11
6673		19941		2		10		19945				4		6
4722		13946		1		9		13947				1		2
